1,35,14,02,true
49,30,14,02,true
47,32,13,02,true
46,31,15,02,true
50,36,14,02,true
54,39,17,04,true
46,34,14,03,true
50,34,15,02,true
44,29,14,02,true
49,31,15,01,true
54,37,15,02,true
48,34,16,02,true
48,30,14,01,true
43,30,11,01,true
58,40,12,02,true
57,44,15,04,true
54,39,13,04,true
51,35,14,03,true
57,38,17,03,true
51,38,15,03,true
54,34,17,02,true
51,37,15,04,true
46,36,10,02,true
51,33,17,05,true
48,34,19,02,true
50,30,16,02,true
50,34,16,04,true
52,35,15,02,true
52,34,14,02,true
47,32,16,02,true
48,31,16,02,true
54,34,15,04,true
52,41,15,01,true
55,42,14,02,true
49,31,15,01,true
50,32,12,02,true
55,35,13,02,true
49,31,15,01,true
44,30,13,02,true
51,34,15,02,true
50,35,13,03,true
45,23,13,03,true
44,32,13,02,true
50,35,16,06,true
51,38,19,04,true
48,30,14,03,true
51,38,16,02,true
46,32,14,02,true
53,37,15,02,true
50,33,14,02,true
63,33,60,25,false
58,27,51,19,false
71,30,59,21,false
63,29,56,18,false
65,30,58,22,false
76,30,66,21,false
49,25,45,17,false
73,29,63,18,false
67,25,58,18,false
72,36,61,25,false
65,32,51,20,false
64,27,53,19,false
68,30,55,21,false
57,25,50,20,false
58,28,51,24,false
64,32,53,23,false
65,30,55,18,false
77,38,67,22,false
77,26,69,23,false
60,22,50,15,false
69,32,57,23,false
56,28,49,20,false
77,28,67,20,false
63,27,49,18,false
67,33,57,21,false
72,32,60,18,false
62,28,48,18,false
61,30,49,18,false
64,28,56,21,false
72,30,58,16,false
74,28,61,19,false
79,38,64,20,false
64,28,56,22,false
63,28,51,15,false
61,26,56,14,false
77,30,61,23,false
63,34,56,24,false
64,31,55,18,false
60,30,48,18,false
69,31,54,21,false
67,31,56,24,false
69,31,51,23,false
58,27,51,19,false
68,32,59,23,false
67,33,57,25,false
67,30,52,23,false
63,25,50,19,false
65,30,52,20,false
62,34,54,23,false
59,30,51,18,false
